I,II,V1
6070957.0,6064274.0,6044484.0
6070956.0,6064201.0,6044420.0
6071206.0,6064508.0,6044445.0
6071091.0,6064393.0,6044285.0
6071139.0,6064376.0,6044462.0
6071057.0,6064406.0,6044388.0
6070995.0,6064454.0,6044419.0
6070995.0,6064531.0,6044389.0
6070935.0,6064598.0,6044379.0
6071004.0,6064583.0,6044348.0
6071067.0,6064579.0,6044439.0
6070935.0,6064551.0,6044418.0
6071132.0,6064808.0,6044442.0
6071024.0,6064728.0,6044404.0
6070986.0,6064567.0,6044474.0
6071034.0,6064709.0,6044381.0
6071137.0,6064792.0,6044454.0
6070947.0,6064768.0,6044260.0
6070980.0,6064665.0,6044497.0
6071003.0,6064683.0,6044402.0
6071010.0,6064752.0,6044370.0
6070949.0,6064755.0,6044328.0
6071003.0,6064734.0,6044308.0
6070948.0,6064744.0,6044220.0
6071024.0,6064817.0,6044420.0
6071064.0,6064780.0,6044274.0
6071030.0,6064745.0,6044373.0
6071063.0,6064786.0,6044204.0
6071028.0,6064807.0,6044418.0
6071003.0,6064748.0,6044360.0
6071030.0,6064726.0,6044396.0
6071049.0,6064851.0,6044293.0
6071142.0,6064890.0,6044248.0
6071043.0,6064889.0,6044332.0
6071055.0,6064973.0,6044242.0
6070953.0,6064729.0,6044491.0
6070888.0,6064601.0,6044740.0
6070696.0,6064372.0,6044729.0
6070887.0,6064510.0,6044613.0
6071221.0,6064812.0,6044335.0
6071152.0,6064976.0,6044394.0
6071182.0,6065006.0,6044315.0
6071185.0,6064968.0,6044439.0
6071106.0,6064945.0,6044334.0
6071160.0,6064899.0,6044400.0
6071138.0,6065020.0,6044301.0
6071203.0,6064990.0,6044393.0
6071118.0,6064993.0,6044175.0
6071125.0,6065037.0,6044297.0
6070566.0,6064578.0,6044528.0
6068306.0,6062715.0,6045672.0
6067434.0,6060244.0,6046102.0
6075827.0,6064985.0,6039525.0
6096981.0,6082628.0,6030636.0
6098989.0,6084193.0,6035102.0
6083631.0,6074247.0,6043307.0
6075568.0,6068211.0,6045252.0
6073042.0,6065897.0,6044383.0
6071919.0,6065011.0,6044228.0
6071357.0,6064607.0,6044204.0
6071037.0,6064340.0,6044251.0
6070866.0,6064214.0,6044187.0
6070862.0,6064165.0,6044265.0
6070783.0,6064174.0,6044073.0
6070855.0,6064159.0,6044159.0
6070786.0,6064129.0,6044199.0
6070716.0,6063902.0,6044267.0
6070851.0,6063972.0,6044224.0
6070751.0,6063864.0,6044312.0
6070917.0,6063876.0,6044218.0
6071001.0,6063790.0,6044391.0
6071043.0,6063735.0,6044355.0
6071099.0,6063606.0,6044484.0
6071220.0,6063616.0,6044455.0
6071561.0,6063647.0,6044498.0
6071872.0,6063683.0,6044359.0
6072506.0,6063784.0,6044300.0
6072999.0,6063983.0,6043904.0
6073350.0,6064171.0,6043744.0
6073802.0,6064567.0,6043233.0
6073997.0,6064797.0,6042985.0
6074036.0,6065050.0,6042658.0
6073619.0,6065256.0,6042762.0
6072944.0,6065032.0,6042952.0
6072390.0,6064885.0,6043358.0
6071854.0,6064778.0,6043484.0
6071460.0,6064590.0,6043769.0
6071184.0,6064481.0,6043823.0
6071088.0,6064551.0,6043895.0
6070987.0,6064437.0,6043761.0
6070937.0,6064501.0,6043945.0
6070873.0,6064348.0,6043905.0
6070848.0,6064329.0,6044051.0
6070937.0,6064328.0,6043794.0
6070948.0,6064447.0,6044017.0
6071177.0,6064458.0,6043950.0
6071138.0,6064453.0,6044031.0
6071179.0,6064491.0,6043915.0
6071228.0,6064525.0,6043963.0
6071242.0,6064615.0,6043881.0
6071252.0,6064597.0,6043912.0
6071294.0,6064596.0,6043799.0
6071169.0,6064640.0,6043963.0
6071278.0,6064747.0,6043793.0
6071237.0,6064697.0,6043936.0
6071338.0,6064663.0,6043823.0
6071301.0,6064743.0,6043930.0
6071303.0,6064756.0,6043956.0
6071271.0,6064727.0,6043947.0
6071256.0,6064778.0,6043851.0
6071343.0,6064743.0,6043964.0
6071292.0,6064822.0,6043797.0
6071305.0,6064848.0,6043886.0
6071317.0,6064841.0,6043777.0
6071286.0,6064773.0,6043892.0
6071311.0,6064867.0,6043737.0
6071390.0,6064869.0,6043860.0
6071420.0,6064793.0,6043766.0
6071395.0,6064872.0,6043873.0
6071273.0,6064813.0,6043771.0
6071255.0,6064784.0,6043817.0
6071356.0,6064833.0,6043735.0
6071372.0,6064818.0,6043787.0
6071437.0,6064884.0,6043650.0
6071439.0,6064826.0,6043788.0
6071501.0,6064790.0,6043677.0
6071573.0,6064866.0,6043794.0
6071460.0,6064831.0,6043644.0
6071513.0,6064820.0,6043837.0
6071515.0,6064846.0,6043713.0
6071553.0,6064864.0,6043763.0
6071636.0,6064868.0,6043646.0
6071610.0,6064920.0,6043747.0
6071689.0,6064891.0,6043675.0
6071710.0,6064863.0,6043777.0
6071673.0,6064895.0,6043603.0
6071770.0,6064942.0,6043719.0
6071796.0,6064926.0,6043609.0
