I,II,V1
6015088.0,6024041.0,6116953.0
6012432.0,6021921.0,6115907.0
6011226.0,6020588.0,6116375.0
6010328.0,6020163.0,6116278.0
6010279.0,6020221.0,6116070.0
6009947.0,6019810.0,6116323.0
6009911.0,6019823.0,6116243.0
6009776.0,6019724.0,6116055.0
6009969.0,6019601.0,6116406.0
6010115.0,6019633.0,6116087.0
6009833.0,6019412.0,6115947.0
6009938.0,6019162.0,6116083.0
6010097.0,6019369.0,6115844.0
6010272.0,6019121.0,6115932.0
6009970.0,6019066.0,6116056.0
6010223.0,6019003.0,6115950.0
6010437.0,6019056.0,6115854.0
6010800.0,6018900.0,6115926.0
6011258.0,6019087.0,6115877.0
6011570.0,6019075.0,6115340.0
6011825.0,6019284.0,6114931.0
6012102.0,6019496.0,6114689.0
6012708.0,6020187.0,6114186.0
6012697.0,6020290.0,6114337.0
6012199.0,6020404.0,6114484.0
6011677.0,6020348.0,6114703.0
6011022.0,6020241.0,6114975.0
6010388.0,6019942.0,6115323.0
6010159.0,6019822.0,6115583.0
6009952.0,6019541.0,6115958.0
6009959.0,6019596.0,6115787.0
6009975.0,6019931.0,6115537.0
6009478.0,6019724.0,6115742.0
6010077.0,6019790.0,6115795.0
6009873.0,6019442.0,6115911.0
6009763.0,6019683.0,6115756.0
6009935.0,6019614.0,6115444.0
6009861.0,6019835.0,6115778.0
6010047.0,6019817.0,6115586.0
6010231.0,6020022.0,6115515.0
6009879.0,6019761.0,6115614.0
6010047.0,6019633.0,6115640.0
6010081.0,6019471.0,6115540.0
6009749.0,6019713.0,6115366.0
6009649.0,6019577.0,6115824.0
6009895.0,6019912.0,6115425.0
6009880.0,6019851.0,6115351.0
6009780.0,6019823.0,6115424.0
6009762.0,6019901.0,6115464.0
6009821.0,6019730.0,6115707.0
6009505.0,6019853.0,6115647.0
6009769.0,6019896.0,6115620.0
6009761.0,6019606.0,6115735.0
6009374.0,6019499.0,6115923.0
6009745.0,6019731.0,6115388.0
6009723.0,6019644.0,6115701.0
6009775.0,6019955.0,6115080.0
6009725.0,6019852.0,6115358.0
6009582.0,6019740.0,6115466.0
6009739.0,6019712.0,6115397.0
6009437.0,6019525.0,6115570.0
6009586.0,6019786.0,6115656.0
6009597.0,6019625.0,6115358.0
6009195.0,6019244.0,6115899.0
6009818.0,6019865.0,6115110.0
6009433.0,6019665.0,6115643.0
6009250.0,6019602.0,6115451.0
6009652.0,6019753.0,6115444.0
6009257.0,6019478.0,6115474.0
6009546.0,6019660.0,6115349.0
6009502.0,6019379.0,6115555.0
6009240.0,6019655.0,6115378.0
6009411.0,6019603.0,6115436.0
6009454.0,6019475.0,6115594.0
6009227.0,6019527.0,6114883.0
6009206.0,6019245.0,6115293.0
6008691.0,6018787.0,6115507.0
6009001.0,6018850.0,6115606.0
6009562.0,6019476.0,6111236.0
6009654.0,6019315.0,6115872.0
6009228.0,6019270.0,6115950.0
6009260.0,6019559.0,6115676.0
6008850.0,6019314.0,6116045.0
6009414.0,6019454.0,6115660.0
6009410.0,6019347.0,6115814.0
6009262.0,6019157.0,6116059.0
6009338.0,6019592.0,6115511.0
6008253.0,6018458.0,6115912.0
6006045.0,6016057.0,6117329.0
6007375.0,6015144.0,6116971.0
6025348.0,6028712.0,6106970.0
6038428.0,6039366.0,6105998.0
6028631.0,6033610.0,6112948.0
6016531.0,6023987.0,6116930.0
6012226.0,6020917.0,6115982.0
6010519.0,6019557.0,6115539.0
6009980.0,6018891.0,6115713.0
6009268.0,6018564.0,6115942.0
6009126.0,6018442.0,6115943.0
6009059.0,6018106.0,6116238.0
6009108.0,6017969.0,6116048.0
6009447.0,6018324.0,6115970.0
6008921.0,6018202.0,6116235.0
6009156.0,6018066.0,6115979.0
6009317.0,6017870.0,6116225.0
6009446.0,6017944.0,6115910.0
6009643.0,6018173.0,6115710.0
6009825.0,6017808.0,6116281.0
6009731.0,6017548.0,6116443.0
6010024.0,6017722.0,6116509.0
6010328.0,6017949.0,6116629.0
6010937.0,6018009.0,6116256.0
6011112.0,6018020.0,6116395.0
6011862.0,6018580.0,6116020.0
6012142.0,6018469.0,6115912.0
6012691.0,6018825.0,6115330.0
6012506.0,6018766.0,6115154.0
6012042.0,6018754.0,6115039.0
6011588.0,6019094.0,6114599.0
6011192.0,6018882.0,6114761.0
6010310.0,6018612.0,6115035.0
6009739.0,6018484.0,6115217.0
6009201.0,6018212.0,6115245.0
6009476.0,6018301.0,6115118.0
6009241.0,6018194.0,6115088.0
6009297.0,6018137.0,6115141.0
6009369.0,6018056.0,6115448.0
6009171.0,6017937.0,6115223.0
6009160.0,6017864.0,6115574.0
6009245.0,6018054.0,6115472.0
6009371.0,6018108.0,6115402.0
6009617.0,6018294.0,6115954.0
6009621.0,6018454.0,6115695.0
6009280.0,6018143.0,6115656.0
6009300.0,6018113.0,6115437.0
6009131.0,6018405.0,6115109.0
6009625.0,6018624.0,6115230.0
6009598.0,6018585.0,6115190.0
6009491.0,6018409.0,6115447.0
6009679.0,6018562.0,6115213.0
6009541.0,6018296.0,6115458.0
6009442.0,6018425.0,6115199.0
6009551.0,6018392.0,6115188.0
6009477.0,6018461.0,6115252.0
6009484.0,6018221.0,6115434.0
6009693.0,6018555.0,6114867.0
6009657.0,6018370.0,6115411.0
6009683.0,6018414.0,6115328.0
6009495.0,6018303.0,6115292.0
6009485.0,6018452.0,6115187.0
6009699.0,6018416.0,6115063.0
6009287.0,6018240.0,6114884.0
6009226.0,6017972.0,6114873.0
6009593.0,6018173.0,6114809.0
6009888.0,6018479.0,6115138.0
6009937.0,6018491.0,6115047.0
6009690.0,6018423.0,6115178.0
6009426.0,6018415.0,6115232.0
6009315.0,6018457.0,6115536.0
6009465.0,6018527.0,6115663.0
6009533.0,6018366.0,6115539.0
6009581.0,6018318.0,6115191.0
6009791.0,6018000.0,6115663.0
6007233.0,6016394.0,6115758.0
6005627.0,6013728.0,6115730.0
6013190.0,6017319.0,6113223.0
6034137.0,6033904.0,6103353.0
6041470.0,6039908.0,6106812.0
6026029.0,6030594.0,6115105.0
6014936.0,6021930.0,6116238.0
6012592.0,6019971.0,6114936.0
6010856.0,6018402.0,6115500.0
6010063.0,6017827.0,6115558.0
6009942.0,6017773.0,6114866.0
6009567.0,6017582.0,6115101.0
6009640.0,6017190.0,6115542.0
6009578.0,6017493.0,6114682.0
6009721.0,6017378.0,6115149.0
6009536.0,6017171.0,6115367.0
6009733.0,6017192.0,6115210.0
6009758.0,6017149.0,6115550.0
6009971.0,6017002.0,6115313.0
6009957.0,6016903.0,6115370.0
6010131.0,6016972.0,6114966.0
6010426.0,6017018.0,6114898.0
6010599.0,6017048.0,6114902.0
6010825.0,6017084.0,6115351.0
6011392.0,6017106.0,6115237.0
6011847.0,6017292.0,6115224.0
6012074.0,6017441.0,6114450.0
6012647.0,6017891.0,6114152.0
