I,II,V1
6076370.0,6079786.0,6039459.0
6076179.0,6079797.0,6039207.0
6075975.0,6079505.0,6040189.0
6076273.0,6079876.0,6039524.0
6076205.0,6080005.0,6039859.0
6076276.0,6079856.0,6040047.0
6076118.0,6079700.0,6039926.0
6076182.0,6080044.0,6039766.0
6076252.0,6079993.0,6040141.0
6076286.0,6080120.0,6039322.0
6075855.0,6079860.0,6039507.0
6076386.0,6080027.0,6039537.0
6076150.0,6079962.0,6039255.0
6076258.0,6079880.0,6039233.0
6076378.0,6079853.0,6039563.0
6076221.0,6079944.0,6038868.0
6076027.0,6079584.0,6039237.0
6076241.0,6079550.0,6039158.0
6076577.0,6079806.0,6039312.0
6076457.0,6080039.0,6039727.0
6076767.0,6079969.0,6040377.0
6076356.0,6079828.0,6040395.0
6076747.0,6080161.0,6040418.0
6076487.0,6080165.0,6040747.0
6076828.0,6080185.0,6040193.0
6076833.0,6080216.0,6039885.0
6076142.0,6079793.0,6039709.0
6072407.0,6076612.0,6040848.0
6071039.0,6073599.0,6041180.0
6087287.0,6085307.0,6035251.0
6089379.0,6089671.0,6040105.0
6081530.0,6083112.0,6040534.0
6078980.0,6081295.0,6039452.0
6077538.0,6080247.0,6039679.0
6077169.0,6079939.0,6039103.0
6076729.0,6079934.0,6038967.0
6076475.0,6079693.0,6038813.0
6076376.0,6079792.0,6038611.0
6076408.0,6079968.0,6038517.0
6076180.0,6079749.0,6038651.0
6075846.0,6079498.0,6039099.0
6076000.0,6079539.0,6038893.0
6076197.0,6079640.0,6039312.0
6076404.0,6079513.0,6039178.0
6076473.0,6079320.0,6039480.0
6076308.0,6079158.0,6039218.0
6076528.0,6078942.0,6039411.0
6076495.0,6078656.0,6039084.0
6076764.0,6078861.0,6038436.0
6076864.0,6078762.0,6037911.0
6077433.0,6079190.0,6037245.0
6077629.0,6079449.0,6036571.0
6077806.0,6079765.0,6036408.0
6077843.0,6080123.0,6036651.0
6077458.0,6080256.0,6037340.0
6076856.0,6080181.0,6037775.0
6076740.0,6080212.0,6038038.0
6076656.0,6080395.0,6038215.0
6076482.0,6080417.0,6038490.0
6076146.0,6080737.0,6038387.0
6076210.0,6080493.0,6038674.0
6076184.0,6080421.0,6038877.0
6076218.0,6080386.0,6039017.0
6076695.0,6080712.0,6038645.0
6076465.0,6080273.0,6039177.0
6076885.0,6080388.0,6038786.0
6076786.0,6080708.0,6038846.0
6076619.0,6080600.0,6038536.0
6076718.0,6080529.0,6038551.0
6076702.0,6080591.0,6038312.0
6076543.0,6080635.0,6038231.0
6076619.0,6080360.0,6038562.0
6076581.0,6080480.0,6038385.0
6076671.0,6080549.0,6038453.0
6076889.0,6080808.0,6038499.0
6076739.0,6080694.0,6038745.0
6076687.0,6080834.0,6038802.0
6076613.0,6080722.0,6038820.0
6076961.0,6080709.0,6038938.0
6076942.0,6080887.0,6039042.0
6077163.0,6080884.0,6038989.0
6076813.0,6080873.0,6038940.0
6076896.0,6080870.0,6038852.0
6076575.0,6080715.0,6039083.0
6076666.0,6080813.0,6038524.0
6076639.0,6080762.0,6038910.0
6076547.0,6080645.0,6038886.0
6076664.0,6080854.0,6038689.0
6076911.0,6080826.0,6038517.0
6076715.0,6080756.0,6038615.0
6076741.0,6080624.0,6038511.0
6076717.0,6080605.0,6038460.0
6076875.0,6080630.0,6038775.0
6077091.0,6080660.0,6038868.0
6077012.0,6080588.0,6039027.0
6076713.0,6080644.0,6038137.0
6076596.0,6080595.0,6037858.0
6076655.0,6080508.0,6037809.0
6076740.0,6080517.0,6038767.0
6077370.0,6080722.0,6039160.0
6076987.0,6080596.0,6039589.0
6076898.0,6080426.0,6039739.0
6076858.0,6080729.0,6039681.0
6077020.0,6080599.0,6039823.0
6077314.0,6080624.0,6040003.0
6077137.0,6080601.0,6040179.0
6074735.0,6079094.0,6040985.0
