I,II,V1
6044411.0,6051567.0,6147766.0
6045171.0,6052198.0,6146487.0
6045506.0,6052427.0,6146277.0
6045760.0,6051915.0,6146645.0
6046194.0,6052102.0,6146879.0
6046143.0,6051713.0,6146658.0
6046245.0,6051614.0,6147370.0
6046384.0,6052178.0,6146856.0
6046775.0,6052411.0,6146964.0
6046546.0,6051796.0,6145928.0
6046258.0,6051056.0,6146085.0
6045630.0,6050515.0,6145797.0
6045798.0,6050697.0,6145867.0
6044648.0,6050574.0,6145578.0
6044924.0,6050538.0,6146162.0
6045579.0,6051520.0,6146905.0
6045496.0,6051701.0,6146395.0
6045779.0,6051578.0,6145412.0
6045990.0,6051535.0,6145679.0
6046580.0,6052023.0,6145553.0
6047168.0,6052725.0,6145519.0
6047406.0,6052814.0,6145540.0
6047716.0,6052917.0,6145754.0
6047299.0,6052642.0,6145326.0
6048052.0,6053066.0,6145338.0
6047770.0,6052792.0,6145004.0
6047745.0,6052696.0,6145774.0
6048003.0,6052981.0,6145478.0
6048399.0,6053061.0,6146724.0
6047878.0,6052733.0,6146711.0
6048349.0,6052919.0,6146698.0
6047632.0,6052604.0,6146030.0
6048431.0,6052812.0,6145405.0
6047922.0,6052896.0,6145373.0
6048331.0,6052708.0,6146781.0
6048594.0,6052692.0,6146464.0
6048140.0,6052397.0,6146784.0
6048390.0,6052260.0,6146303.0
6048353.0,6052661.0,6145253.0
6048629.0,6053152.0,6144604.0
6048620.0,6052997.0,6145516.0
6048451.0,6052882.0,6145347.0
6048100.0,6052588.0,6144847.0
6047856.0,6052510.0,6145003.0
6047256.0,6051494.0,6144839.0
6048269.0,6052581.0,6145209.0
6047630.0,6052212.0,6146418.0
6047790.0,6052854.0,6145219.0
6044100.0,6049864.0,6147237.0
6082922.0,6077958.0,6134110.0
6082887.0,6077825.0,6139582.0
6061852.0,6063407.0,6146849.0
6051169.0,6055719.0,6146427.0
6048593.0,6052996.0,6144895.0
6047080.0,6051870.0,6145279.0
6046759.0,6051467.0,6145243.0
6046775.0,6052210.0,6144956.0
6047258.0,6051993.0,6145700.0
6046778.0,6051869.0,6146029.0
6047256.0,6052597.0,6144643.0
6047772.0,6052227.0,6146017.0
6047481.0,6052389.0,6145935.0
6047278.0,6052524.0,6145954.0
6046976.0,6051993.0,6145240.0
6046664.0,6051534.0,6145453.0
6046914.0,6051193.0,6144835.0
6046387.0,6051333.0,6144415.0
6046484.0,6050931.0,6143665.0
6045838.0,6050911.0,6143458.0
6045247.0,6050633.0,6144409.0
6044862.0,6050037.0,6145093.0
6045062.0,6050745.0,6143528.0
6045361.0,6050907.0,6142809.0
6045839.0,6051279.0,6142700.0
6046170.0,6052038.0,6143346.0
6046696.0,6052569.0,6143134.0
6046613.0,6052494.0,6143571.0
6046901.0,6052422.0,6144107.0
6046484.0,6052411.0,6144308.0
6046876.0,6052458.0,6143479.0
6047283.0,6052769.0,6143524.0
6047499.0,6053042.0,6143838.0
6047068.0,6052203.0,6144283.0
6047360.0,6052783.0,6143547.0
6047180.0,6052664.0,6143842.0
6047332.0,6052595.0,6144139.0
6047726.0,6052982.0,6144885.0
6047463.0,6052454.0,6144167.0
6047147.0,6052262.0,6143699.0
6047825.0,6053021.0,6143862.0
6047235.0,6052841.0,6144648.0
6047737.0,6052805.0,6145090.0
6047835.0,6053248.0,6145137.0
6047598.0,6053026.0,6144575.0
6047690.0,6052947.0,6144655.0
6048046.0,6053015.0,6144400.0
6048365.0,6053300.0,6143907.0
6047825.0,6052874.0,6143803.0
6049009.0,6054209.0,6144132.0
6048683.0,6053740.0,6144736.0
6047963.0,6052991.0,6145472.0
6048074.0,6053286.0,6145833.0
6047923.0,6052701.0,6146269.0
6048884.0,6053706.0,6146547.0
6048194.0,6053042.0,6146181.0
6048083.0,6053518.0,6147211.0
6047007.0,6051888.0,6148510.0
6044642.0,6049435.0,6148688.0
6044882.0,6047806.0,6147860.0
6064537.0,6061370.0,6140216.0
6084012.0,6078569.0,6135348.0
6075026.0,6072380.0,6142032.0
6058465.0,6059964.0,6148833.0
6050002.0,6053867.0,6148826.0
6048001.0,6051926.0,6146900.0
6047222.0,6050927.0,6146377.0
6047016.0,6050998.0,6146746.0
6047003.0,6051094.0,6147013.0
6046600.0,6051261.0,6147227.0
6047057.0,6051451.0,6147103.0
6045664.0,6051115.0,6147463.0
6046572.0,6051150.0,6146927.0
6046501.0,6050945.0,6146432.0
6046302.0,6050305.0,6147230.0
6046993.0,6050316.0,6147694.0
6046834.0,6050409.0,6147304.0
6047683.0,6050941.0,6146286.0
6046161.0,6050372.0,6145951.0
6046126.0,6049783.0,6147266.0
6045899.0,6049423.0,6146536.0
6045616.0,6050421.0,6146303.0
