I,II,V1
6065392.0,6054322.0,6059304.0
6065496.0,6054287.0,6059405.0
6065688.0,6054219.0,6059390.0
6065858.0,6054217.0,6059499.0
6066166.0,6054142.0,6059380.0
6066385.0,6054127.0,6059527.0
6067018.0,6054368.0,6059337.0
6067594.0,6054560.0,6059097.0
6068041.0,6054898.0,6058778.0
6068415.0,6055101.0,6058473.0
6068691.0,6055473.0,6058146.0
6068574.0,6055645.0,6057936.0
6068128.0,6055832.0,6057939.0
6067537.0,6055608.0,6058150.0
6066835.0,6055448.0,6058345.0
6066280.0,6055243.0,6058707.0
6065955.0,6055226.0,6058734.0
6065776.0,6055111.0,6058932.0
6065685.0,6055060.0,6058920.0
6065521.0,6055017.0,6058917.0
6065581.0,6055065.0,6058838.0
6065548.0,6054915.0,6058957.0
6065559.0,6054918.0,6058903.0
6065574.0,6054901.0,6058923.0
6065581.0,6054893.0,6058852.0
6065620.0,6054858.0,6059102.0
6065677.0,6054974.0,6058891.0
6065816.0,6055055.0,6058985.0
6065747.0,6055067.0,6058869.0
6065774.0,6055054.0,6059039.0
6065722.0,6055068.0,6058919.0
6065758.0,6055016.0,6059054.0
6065745.0,6055180.0,6058941.0
6065786.0,6055180.0,6058993.0
6065717.0,6055138.0,6058961.0
6065725.0,6055155.0,6059013.0
6065699.0,6055155.0,6058933.0
6065726.0,6055104.0,6059042.0
6065729.0,6055206.0,6058981.0
6065653.0,6055243.0,6059013.0
6065732.0,6055184.0,6058955.0
6065669.0,6055116.0,6059017.0
6065697.0,6055252.0,6058845.0
6065710.0,6055128.0,6058949.0
6065740.0,6055164.0,6058950.0
6065715.0,6055138.0,6058982.0
6065710.0,6055157.0,6058986.0
6065772.0,6055227.0,6058908.0
6065697.0,6055149.0,6058887.0
6065776.0,6055192.0,6058966.0
6065836.0,6055336.0,6058892.0
6065703.0,6055162.0,6058945.0
6065689.0,6055126.0,6058961.0
6065716.0,6055151.0,6058971.0
6065745.0,6055183.0,6058896.0
6065780.0,6055148.0,6058933.0
6065815.0,6055216.0,6058874.0
6065819.0,6055230.0,6058904.0
6065770.0,6055218.0,6058898.0
6065823.0,6055184.0,6058982.0
6065825.0,6055242.0,6058831.0
6065817.0,6055169.0,6058976.0
6065801.0,6055163.0,6058930.0
6065846.0,6055210.0,6058974.0
6065845.0,6055218.0,6058780.0
6065803.0,6055181.0,6058924.0
6065661.0,6055038.0,6059146.0
6065593.0,6054823.0,6059075.0
6065606.0,6054778.0,6059182.0
6065916.0,6055030.0,6058842.0
6066076.0,6055304.0,6059095.0
6066013.0,6055195.0,6059132.0
6066056.0,6055281.0,6059043.0
6066015.0,6055266.0,6059126.0
6065974.0,6055297.0,6059007.0
6065873.0,6055273.0,6059040.0
6065993.0,6055290.0,6058917.0
6065991.0,6055317.0,6058938.0
6065930.0,6055347.0,6058759.0
6065934.0,6055330.0,6058865.0
6066992.0,6052858.0,6058466.0
6084914.0,6066886.0,6048482.0
6095680.0,6075546.0,6047712.0
6083561.0,6068264.0,6055653.0
6072495.0,6059772.0,6059766.0
6068544.0,6056716.0,6059273.0
6067098.0,6055525.0,6058862.0
6066259.0,6054964.0,6059024.0
6065874.0,6054744.0,6058957.0
6065718.0,6054664.0,6059016.0
6065702.0,6054552.0,6058797.0
6065661.0,6054528.0,6058853.0
6065654.0,6054488.0,6058811.0
6065725.0,6054508.0,6058951.0
6065551.0,6054330.0,6058907.0
6065553.0,6054242.0,6058959.0
6065696.0,6054149.0,6058969.0
6065649.0,6054057.0,6059108.0
6065672.0,6053955.0,6059062.0
6065726.0,6053961.0,6059212.0
6065854.0,6053963.0,6059240.0
6065917.0,6053749.0,6059299.0
6066077.0,6053664.0,6059333.0
6066333.0,6053684.0,6059262.0
6066861.0,6053885.0,6058999.0
6067401.0,6053981.0,6058900.0
6067870.0,6054243.0,6058457.0
6068302.0,6054547.0,6058158.0
6068739.0,6054990.0,6057696.0
6068815.0,6055352.0,6057377.0
6068540.0,6055547.0,6057257.0
6068032.0,6055584.0,6057551.0
6067428.0,6055385.0,6057801.0
6066822.0,6055273.0,6058156.0
6066492.0,6055115.0,6058257.0
6066127.0,6055024.0,6058444.0
6066242.0,6055122.0,6058407.0
6066061.0,6055065.0,6058498.0
6066269.0,6055168.0,6058405.0
6065989.0,6054982.0,6058542.0
6066069.0,6054964.0,6058381.0
6066129.0,6055037.0,6058580.0
6066080.0,6055025.0,6058525.0
6066133.0,6055060.0,6058500.0
6066173.0,6055042.0,6058448.0
6066200.0,6055090.0,6058585.0
6066208.0,6055282.0,6058387.0
6066302.0,6055175.0,6058379.0
6066149.0,6055089.0,6058368.0
6066139.0,6055140.0,6058448.0
6066193.0,6055261.0,6058300.0
6066256.0,6055166.0,6058442.0
6066156.0,6055253.0,6058355.0
6066292.0,6055423.0,6058459.0
6066227.0,6055366.0,6058322.0
6066248.0,6055403.0,6058431.0
6066239.0,6055522.0,6058340.0
6066166.0,6055425.0,6058451.0
6066280.0,6055470.0,6058344.0
6066224.0,6055463.0,6058431.0
6066303.0,6055516.0,6058281.0
6066141.0,6055501.0,6058359.0
6066147.0,6055472.0,6058298.0
6066191.0,6055558.0,6058350.0
6066263.0,6055625.0,6058186.0
6066263.0,6055625.0,6058355.0
6066268.0,6055569.0,6058217.0
6066250.0,6055649.0,6058351.0
6066280.0,6055566.0,6058268.0
6066240.0,6055519.0,6058304.0
6066166.0,6055687.0,6058267.0
6066160.0,6055663.0,6058284.0
6066403.0,6055745.0,6058244.0
6066365.0,6055715.0,6058315.0
6066257.0,6055810.0,6058093.0
6066302.0,6055776.0,6058245.0
6066328.0,6055742.0,6058184.0
6066299.0,6055732.0,6058258.0
6066321.0,6055796.0,6058160.0
6066460.0,6055838.0,6058293.0
6066492.0,6055855.0,6058238.0
6066454.0,6055925.0,6058091.0
6066251.0,6055872.0,6058247.0
6066187.0,6055715.0,6058434.0
6066169.0,6055614.0,6058359.0
6066093.0,6055456.0,6058584.0
6066459.0,6055680.0,6058109.0
6066555.0,6055950.0,6058450.0
6066453.0,6056010.0,6058219.0
6066526.0,6056139.0,6058301.0
6066377.0,6056092.0,6058239.0
6066347.0,6056045.0,6058277.0
6066524.0,6056197.0,6058212.0
6066396.0,6056251.0,6058141.0
6066536.0,6056204.0,6057984.0
6066268.0,6056153.0,6058071.0
6066509.0,6056295.0,6057861.0
6065299.0,6055444.0,6058627.0
6076782.0,6060479.0,6051526.0
6095258.0,6076223.0,6044855.0
6092159.0,6074234.0,6049981.0
6077841.0,6064726.0,6057557.0
6069880.0,6058596.0,6058632.0
6068168.0,6056933.0,6058121.0
6067042.0,6056272.0,6058108.0
6066527.0,6055968.0,6058051.0
6066232.0,6055807.0,6058027.0
6066217.0,6055709.0,6058023.0
6066116.0,6055566.0,6057886.0
6066127.0,6055511.0,6057998.0
6066040.0,6055426.0,6057912.0
6066093.0,6055441.0,6058077.0
6066157.0,6055502.0,6058029.0
6066319.0,6055552.0,6057996.0
6066268.0,6055306.0,6057994.0
6066169.0,6055245.0,6058286.0
6066290.0,6055224.0,6058120.0
6066375.0,6055241.0,6058322.0
6066504.0,6055195.0,6058317.0
6066874.0,6055096.0,6058281.0
6067132.0,6055139.0,6058205.0
6067531.0,6055121.0,6058274.0
6068127.0,6055578.0,6057826.0
6068614.0,6055738.0,6057600.0
6068992.0,6056024.0,6057271.0
6069459.0,6056273.0,6056950.0
6069460.0,6056605.0,6056686.0
6069338.0,6056813.0,6056558.0
6068694.0,6056760.0,6056725.0
6068123.0,6056729.0,6056940.0
6067407.0,6056505.0,6057186.0
6066938.0,6056349.0,6057490.0
6066711.0,6056307.0,6057455.0
6066486.0,6056293.0,6057613.0
6066349.0,6056171.0,6057510.0
6066407.0,6056139.0,6057613.0
6066377.0,6056144.0,6057601.0
6066446.0,6055950.0,6057699.0
6066410.0,6056175.0,6057533.0
6066398.0,6056121.0,6057676.0
6066436.0,6056158.0,6057606.0
6066471.0,6056222.0,6057710.0
6066573.0,6056302.0,6057587.0
6066594.0,6056360.0,6057580.0
6066557.0,6056373.0,6057588.0
6066586.0,6056338.0,6057654.0
6066507.0,6056370.0,6057525.0
6066597.0,6056473.0,6057641.0
6066561.0,6056465.0,6057519.0
6066636.0,6056545.0,6057607.0
6066421.0,6056495.0,6057464.0
6066314.0,6056441.0,6057601.0
6066422.0,6056510.0,6057574.0
6066448.0,6056529.0,6057631.0
6066489.0,6056588.0,6057590.0
6066413.0,6056608.0,6057572.0
6066477.0,6056634.0,6057462.0
6066440.0,6056522.0,6057545.0
6066495.0,6056677.0,6057404.0
6066347.0,6056460.0,6057570.0
6066404.0,6056513.0,6057483.0
6066376.0,6056594.0,6057551.0
6066388.0,6056615.0,6057412.0
6066381.0,6056541.0,6057465.0
6066429.0,6056593.0,6057294.0
6066424.0,6056618.0,6057472.0
6066402.0,6056683.0,6057317.0
6066416.0,6056687.0,6057399.0
6066456.0,6056695.0,6057272.0
6066434.0,6056585.0,6057408.0
6066507.0,6056674.0,6057322.0
6066368.0,6056637.0,6057382.0
6066464.0,6056646.0,6057244.0
6066455.0,6056788.0,6057294.0
6066462.0,6056757.0,6057271.0
6066537.0,6056802.0,6057286.0
6066405.0,6056702.0,6057244.0
6066453.0,6056674.0,6057384.0
6066431.0,6056718.0,6057296.0
6066443.0,6056855.0,6057172.0
6066396.0,6056816.0,6057376.0
6066402.0,6056649.0,6057625.0
6066197.0,6056337.0,6057561.0
6066338.0,6056414.0,6057639.0
6066546.0,6056819.0,6057288.0
6066640.0,6056954.0,6057346.0
6066637.0,6056864.0,6057277.0
6066645.0,6056976.0,6057289.0
6066501.0,6056984.0,6057265.0
6066505.0,6056981.0,6057332.0
6066505.0,6057001.0,6057193.0
6066577.0,6057006.0,6057189.0
6066519.0,6057009.0,6057072.0
6066442.0,6056979.0,6057093.0
6066211.0,6056754.0,6057251.0
6064062.0,6055142.0,6058416.0
6090722.0,6073254.0,6043569.0
6096233.0,6076943.0,6047012.0
6080554.0,6067437.0,6055650.0
6071286.0,6060002.0,6058037.0
6068677.0,6058153.0,6057262.0
6067339.0,6057132.0,6057067.0
6066560.0,6056647.0,6057105.0
6066305.0,6056390.0,6057193.0
6066173.0,6056333.0,6057015.0
6066136.0,6056233.0,6057105.0
6066133.0,6056278.0,6056980.0
6066207.0,6056157.0,6057037.0
6066056.0,6056177.0,6057059.0
6066003.0,6056013.0,6057175.0
6066022.0,6055966.0,6057133.0
6066192.0,6055909.0,6057122.0
6066214.0,6055870.0,6057102.0
6066235.0,6055816.0,6057237.0
6066317.0,6055722.0,6057287.0
6066301.0,6055655.0,6057428.0
6066475.0,6055576.0,6057305.0
6066777.0,6055530.0,6057350.0
6067113.0,6055623.0,6057289.0
6067598.0,6055726.0,6057088.0
