I,II,V1
6006787.0,6008604.0,6109129.0
6006721.0,6008611.0,6109277.0
6006775.0,6008633.0,6109150.0
6006904.0,6008700.0,6109065.0
6006872.0,6008734.0,6109066.0
6006578.0,6008711.0,6109064.0
6006668.0,6008696.0,6109051.0
6006910.0,6008850.0,6108934.0
6006702.0,6008767.0,6109062.0
6006646.0,6008702.0,6109078.0
6006675.0,6008775.0,6109029.0
6006688.0,6008882.0,6109008.0
6006590.0,6008788.0,6108992.0
6006679.0,6008833.0,6109117.0
6006589.0,6008840.0,6109033.0
6006689.0,6008853.0,6108995.0
6006604.0,6008866.0,6109022.0
6006766.0,6008956.0,6108779.0
6006658.0,6008881.0,6109003.0
6006656.0,6008948.0,6108848.0
6006692.0,6009070.0,6108651.0
6006409.0,6008631.0,6108809.0
6006598.0,6008640.0,6108496.0
6006842.0,6008852.0,6108797.0
6007034.0,6009096.0,6109015.0
6007079.0,6009255.0,6108819.0
6006677.0,6009001.0,6108950.0
6006756.0,6009164.0,6109058.0
6006832.0,6009239.0,6109022.0
6006887.0,6009242.0,6109237.0
6006871.0,6009211.0,6109062.0
6006917.0,6009317.0,6108965.0
6006697.0,6008919.0,6109283.0
6004290.0,6007191.0,6110038.0
6002986.0,6004133.0,6110837.0
6011199.0,6008072.0,6107410.0
6034209.0,6027045.0,6097734.0
6037093.0,6028968.0,6101940.0
6020596.0,6019137.0,6109494.0
6011469.0,6012306.0,6110098.0
6007233.0,6008896.0,6109197.0
6007170.0,6008830.0,6109061.0
6006860.0,6008596.0,6109110.0
6006820.0,6008657.0,6109165.0
6006817.0,6008461.0,6109130.0
6006896.0,6008546.0,6109144.0
6006849.0,6008500.0,6109193.0
6006937.0,6008429.0,6109079.0
6007103.0,6008439.0,6109135.0
6007109.0,6008387.0,6109151.0
6007206.0,6008308.0,6109402.0
6007273.0,6008219.0,6109375.0
6007541.0,6008336.0,6109589.0
6007842.0,6008215.0,6109720.0
6008123.0,6008374.0,6109762.0
6008326.0,6008457.0,6109584.0
6008599.0,6008483.0,6109628.0
6008802.0,6008644.0,6109502.0
6008920.0,6008856.0,6109093.0
6008975.0,6009135.0,6108572.0
6008636.0,6009264.0,6108520.0
6008195.0,6009199.0,6108358.0
6007613.0,6009177.0,6108421.0
6007651.0,6009273.0,6108235.0
6007227.0,6009112.0,6108315.0
6007062.0,6009067.0,6108505.0
6006974.0,6009038.0,6108466.0
6006834.0,6008933.0,6108480.0
6006743.0,6008932.0,6108413.0
6006872.0,6008940.0,6108370.0
6006843.0,6008914.0,6108400.0
6006958.0,6008946.0,6108416.0
6007034.0,6008967.0,6108527.0
6007162.0,6009070.0,6108553.0
6007166.0,6008941.0,6108528.0
