I,II,V1
6075473.0,6076825.0,6040595.0
6075446.0,6076656.0,6040722.0
6075432.0,6076513.0,6040751.0
6075605.0,6076677.0,6040826.0
6075529.0,6076395.0,6040747.0
6075750.0,6076526.0,6040781.0
6075771.0,6076129.0,6041000.0
6075688.0,6076107.0,6041107.0
6075427.0,6076121.0,6040976.0
6075576.0,6075654.0,6041183.0
6075679.0,6075762.0,6040673.0
6076147.0,6075744.0,6040549.0
6076055.0,6075755.0,6040472.0
6076514.0,6076003.0,6039907.0
6076729.0,6075834.0,6039781.0
6076737.0,6076141.0,6039151.0
6077474.0,6076862.0,6038761.0
6077655.0,6077420.0,6039172.0
6077145.0,6077308.0,6039365.0
6076759.0,6077382.0,6039683.0
6076281.0,6077401.0,6040089.0
6075631.0,6077001.0,6040511.0
6075653.0,6077117.0,6040368.0
6075683.0,6077084.0,6040567.0
6075675.0,6076916.0,6040560.0
6075592.0,6077197.0,6040407.0
6075512.0,6076703.0,6040759.0
6075820.0,6076848.0,6040596.0
6075778.0,6076538.0,6040941.0
6075866.0,6076865.0,6040751.0
6075980.0,6076769.0,6040771.0
6075836.0,6076821.0,6040526.0
6075798.0,6076959.0,6040440.0
6075644.0,6076755.0,6040677.0
6075789.0,6076911.0,6040844.0
6075489.0,6076664.0,6040776.0
6075346.0,6076788.0,6040460.0
6075210.0,6076809.0,6040396.0
6075381.0,6076619.0,6040836.0
6075278.0,6076686.0,6040936.0
6075366.0,6076695.0,6041148.0
6075472.0,6076577.0,6041201.0
6075541.0,6076862.0,6041315.0
6075514.0,6076679.0,6041758.0
6075496.0,6076888.0,6041554.0
6075342.0,6076763.0,6041664.0
6075470.0,6076832.0,6041301.0
6075459.0,6076862.0,6041588.0
6075633.0,6077037.0,6040422.0
6075532.0,6076813.0,6040516.0
6075526.0,6076770.0,6040351.0
6075666.0,6076818.0,6040529.0
6075809.0,6076990.0,6041096.0
6075909.0,6077069.0,6041392.0
6075815.0,6077059.0,6041335.0
6075857.0,6077051.0,6041539.0
6075799.0,6076969.0,6041810.0
6075736.0,6077312.0,6041219.0
6075600.0,6076822.0,6041377.0
6076207.0,6077454.0,6041260.0
6074222.0,6075784.0,6041881.0
6072696.0,6073849.0,6042454.0
6074315.0,6073017.0,6042293.0
6093382.0,6087406.0,6032621.0
6108160.0,6099467.0,6030846.0
6097878.0,6093401.0,6038223.0
6084613.0,6083429.0,6043196.0
6079309.0,6079171.0,6042388.0
6077522.0,6077509.0,6041658.0
6076537.0,6076846.0,6042090.0
6075973.0,6076504.0,6041748.0
6076079.0,6076549.0,6041590.0
6075894.0,6076289.0,6041745.0
6075958.0,6076427.0,6041469.0
6076186.0,6076493.0,6041151.0
6076186.0,6075986.0,6041434.0
6076084.0,6075946.0,6041369.0
6076214.0,6075912.0,6041447.0
6076220.0,6075894.0,6041419.0
6076409.0,6076096.0,6041417.0
6076907.0,6075867.0,6041398.0
6077075.0,6075909.0,6040693.0
6077508.0,6075998.0,6040882.0
6077575.0,6076168.0,6040312.0
6077480.0,6076386.0,6039859.0
6077959.0,6077029.0,6039470.0
6077917.0,6077137.0,6039467.0
6077827.0,6077465.0,6039347.0
6077191.0,6077174.0,6039707.0
6076943.0,6077390.0,6039697.0
6076355.0,6077031.0,6040143.0
6076067.0,6077251.0,6039936.0
6076108.0,6077256.0,6040435.0
6075862.0,6076998.0,6041060.0
6075803.0,6076778.0,6041251.0
6075623.0,6076736.0,6041796.0
6075790.0,6076933.0,6041683.0
6075784.0,6076746.0,6041522.0
6076203.0,6077227.0,6041118.0
6076149.0,6077516.0,6040718.0
6076316.0,6077303.0,6040860.0
6076580.0,6077544.0,6040942.0
6076614.0,6077414.0,6040663.0
6076544.0,6077573.0,6040841.0
6076501.0,6077577.0,6040971.0
6076197.0,6077601.0,6040648.0
6076229.0,6077332.0,6040667.0
6076487.0,6077498.0,6040623.0
6076164.0,6077405.0,6040796.0
6076112.0,6077273.0,6040745.0
6076202.0,6077353.0,6041084.0
6076211.0,6077404.0,6040856.0
6075836.0,6077222.0,6040453.0
6075725.0,6076942.0,6040366.0
6075703.0,6077221.0,6040001.0
6076231.0,6077157.0,6040242.0
6076356.0,6077255.0,6040775.0
6076351.0,6077386.0,6041043.0
6076150.0,6077412.0,6040614.0
6076180.0,6077359.0,6040855.0
6076104.0,6077410.0,6041003.0
6076244.0,6077299.0,6041000.0
6076104.0,6077233.0,6041082.0
6076015.0,6077289.0,6041005.0
6074070.0,6075738.0,6041892.0
6072821.0,6073694.0,6042056.0
6076414.0,6075110.0,6040773.0
6095570.0,6089057.0,6031442.0
6107518.0,6098852.0,6031018.0
6094996.0,6091596.0,6038599.0
6082681.0,6082132.0,6042611.0
6079341.0,6079416.0,6041556.0
6077312.0,6077869.0,6040791.0
6076675.0,6077147.0,6041080.0
6076199.0,6076890.0,6041115.0
6076192.0,6076933.0,6041195.0
6076007.0,6076597.0,6040830.0
6076162.0,6076512.0,6041137.0
6075964.0,6076416.0,6040686.0
6075951.0,6076341.0,6041241.0
6076002.0,6076138.0,6040937.0
6076088.0,6075941.0,6041484.0
6076308.0,6076230.0,6041391.0
6076441.0,6076203.0,6040846.0
6076796.0,6076041.0,6040974.0
6076712.0,6075875.0,6041187.0
6076496.0,6075740.0,6040845.0
6076790.0,6075737.0,6040452.0
6076775.0,6075588.0,6040201.0
6076989.0,6075651.0,6039892.0
6076847.0,6075689.0,6039854.0
6077374.0,6076052.0,6040037.0
6077145.0,6076264.0,6040044.0
6076922.0,6076411.0,6040307.0
6076569.0,6076574.0,6040753.0
6076373.0,6076694.0,6041044.0
6076037.0,6076672.0,6041395.0
6075869.0,6076727.0,6041282.0
6075842.0,6076495.0,6041299.0
6075850.0,6076604.0,6040957.0
6076006.0,6076497.0,6041031.0
6075769.0,6076540.0,6041066.0
6075923.0,6076698.0,6041019.0
6075998.0,6076430.0,6041212.0
6076158.0,6076545.0,6041047.0
6076037.0,6076655.0,6041152.0
6076285.0,6076561.0,6041275.0
6076225.0,6076844.0,6041176.0
6076449.0,6076805.0,6041599.0
6076256.0,6076836.0,6041254.0
6076414.0,6076671.0,6041306.0
6076344.0,6076912.0,6041121.0
6076335.0,6076775.0,6041140.0
6076146.0,6076642.0,6041166.0
6076469.0,6076973.0,6041269.0
6076412.0,6076861.0,6041471.0
6076390.0,6076799.0,6041132.0
6076378.0,6077160.0,6040741.0
6076375.0,6076977.0,6040832.0
6076373.0,6076920.0,6040445.0
6076585.0,6076996.0,6040904.0
6076816.0,6077221.0,6041297.0
6076545.0,6077114.0,6041622.0
6076522.0,6077042.0,6041634.0
6076497.0,6077229.0,6041234.0
6076553.0,6077290.0,6041290.0
6076531.0,6077182.0,6041286.0
6076793.0,6077326.0,6041157.0
6076535.0,6077020.0,6041587.0
6074223.0,6075589.0,6042927.0
6072319.0,6072821.0,6042696.0
6075988.0,6073963.0,6041975.0
6098825.0,6091658.0,6032447.0
6111652.0,6102092.0,6031764.0
6097100.0,6092722.0,6039320.0
6083491.0,6082501.0,6041902.0
6079356.0,6079077.0,6040743.0
6077936.0,6077662.0,6040074.0
6076786.0,6077115.0,6039938.0
6076123.0,6076723.0,6039945.0
6075984.0,6076543.0,6040503.0
6075921.0,6076379.0,6040523.0
6075764.0,6076473.0,6040399.0
6075726.0,6076298.0,6040414.0
6075612.0,6076277.0,6040354.0
6075592.0,6075979.0,6040585.0
6075634.0,6075711.0,6040760.0
6075478.0,6075587.0,6040853.0
6075611.0,6075533.0,6040740.0
6075799.0,6075675.0,6040589.0
6076153.0,6075837.0,6040229.0
6076234.0,6075792.0,6039947.0
6076786.0,6075794.0,6039930.0
6076900.0,6076093.0,6039287.0
6077098.0,6076140.0,6038936.0
6077122.0,6076156.0,6039004.0
6077496.0,6076422.0,6039301.0
6077679.0,6076882.0,6039284.0
6077306.0,6077089.0,6039506.0
6076879.0,6076926.0,6040006.0
6076569.0,6077254.0,6040255.0
6076341.0,6077183.0,6040564.0
6076015.0,6077000.0,6040713.0
6076047.0,6076828.0,6041147.0
6076037.0,6076894.0,6040974.0
6075851.0,6076810.0,6041310.0
6075951.0,6076953.0,6041128.0
6076316.0,6076951.0,6040888.0
6076005.0,6076817.0,6040971.0
6076033.0,6076660.0,6041095.0
6075967.0,6076754.0,6040995.0
6076180.0,6076780.0,6041059.0
6076261.0,6076896.0,6040571.0
6076284.0,6076910.0,6040846.0
6076379.0,6076981.0,6040855.0
6076569.0,6077157.0,6040376.0
6076301.0,6076926.0,6040709.0
6076307.0,6077122.0,6040792.0
6076160.0,6077072.0,6040645.0
6076246.0,6077160.0,6040455.0
6076082.0,6077166.0,6040539.0
6076033.0,6076955.0,6040813.0
6076268.0,6077007.0,6040780.0
6076229.0,6077187.0,6040195.0
6075935.0,6076974.0,6039805.0
6076136.0,6077125.0,6039982.0
6076872.0,6077611.0,6040187.0
6076969.0,6077731.0,6040577.0
6076315.0,6077090.0,6040828.0
6076230.0,6077191.0,6041114.0
6076217.0,6077120.0,6041063.0
6076184.0,6077063.0,6040932.0
6076498.0,6077090.0,6041275.0
6076466.0,6077147.0,6041019.0
6075821.0,6076628.0,6041296.0
6072992.0,6074589.0,6042267.0
6072018.0,6071656.0,6041984.0
6084723.0,6082502.0,6034908.0
6108469.0,6100209.0,6029506.0
6106570.0,6097385.0,6035368.0
6087741.0,6085513.0,6042095.0
6079833.0,6079164.0,6041852.0
6077814.0,6077488.0,6041067.0
6076767.0,6076712.0,6041424.0
6076478.0,6076370.0,6041715.0
6076291.0,6076299.0,6041583.0
6076224.0,6076290.0,6041262.0
6076337.0,6076275.0,6041210.0
6076198.0,6075982.0,6041438.0
6076064.0,6075908.0,6041757.0
6076049.0,6075730.0,6041431.0
6076426.0,6075819.0,6041248.0
6076499.0,6075640.0,6041087.0
6076380.0,6075517.0,6040999.0
6076535.0,6075361.0,6041047.0
6076842.0,6075543.0,6041074.0
6077084.0,6075527.0,6041127.0
6077384.0,6075864.0,6040604.0
6077577.0,6076030.0,6040122.0
6077663.0,6076156.0,6039773.0
6077788.0,6076481.0,6039923.0
6077569.0,6076651.0,6039935.0
6077285.0,6076650.0,6040647.0
6076813.0,6076889.0,6040951.0
6076553.0,6076524.0,6041449.0
6076571.0,6076679.0,6041202.0
6076368.0,6076628.0,6041320.0
6076272.0,6076807.0,6041245.0
6076612.0,6076809.0,6041564.0
6076202.0,6076659.0,6041592.0
6076294.0,6076597.0,6041769.0
6076384.0,6076673.0,6041645.0
6076573.0,6076629.0,6041492.0
6076377.0,6076691.0,6041071.0
6076373.0,6076759.0,6041102.0
6076450.0,6076779.0,6040849.0
6076354.0,6076701.0,6040998.0
6076434.0,6076987.0,6040504.0
6076386.0,6076883.0,6040808.0
6076575.0,6077118.0,6040732.0
6076482.0,6076968.0,6040978.0
6076511.0,6076910.0,6041043.0
6076425.0,6076948.0,6041135.0
6076594.0,6077329.0,6040336.0
6076551.0,6077107.0,6040289.0
6076331.0,6077090.0,6040058.0
6076443.0,6077193.0,6039570.0
6076435.0,6077215.0,6039617.0
6076951.0,6077577.0,6039790.0
6076659.0,6077285.0,6040121.0
6076638.0,6077280.0,6040240.0
6076603.0,6077556.0,6040135.0
6076846.0,6077729.0,6040705.0
6076351.0,6077421.0,6040550.0
6076297.0,6077404.0,6040415.0
6076402.0,6077420.0,6040300.0
6073904.0,6075802.0,6041068.0
6072232.0,6073479.0,6041686.0
6074971.0,6073454.0,6041367.0
6096786.0,6090352.0,6031853.0
6109612.0,6100896.0,6031590.0
6095750.0,6092335.0,6039401.0
6082797.0,6082483.0,6042313.0
6079310.0,6079361.0,6041023.0
6077657.0,6077773.0,6040726.0
6077149.0,6077295.0,6040548.0
6076392.0,6076755.0,6040860.0
6076284.0,6076445.0,6040779.0
6076343.0,6076412.0,6041084.0
6075937.0,6076077.0,6041266.0
6076045.0,6076235.0,6041142.0
6075705.0,6076022.0,6040856.0
6075556.0,6075864.0,6041147.0
6076334.0,6076103.0,6040792.0
6075943.0,6075745.0,6041431.0
6076198.0,6076000.0,6041133.0
6076783.0,6075837.0,6041218.0
6077338.0,6076295.0,6041336.0
6077240.0,6075973.0,6042259.0
6077555.0,6076026.0,6042857.0
6078032.0,6074756.0,6041502.0
6078507.0,6076738.0,6040425.0
6077447.0,6076260.0,6041514.0
6078631.0,6076875.0,6039752.0
6078375.0,6076569.0,6039627.0
6076483.0,6076653.0,6041012.0
6076650.0,6076267.0,6041202.0
6076426.0,6076669.0,6041150.0
6076389.0,6076638.0,6041254.0
6076299.0,6076753.0,6041170.0
6076069.0,6076699.0,6041225.0
6076442.0,6076761.0,6040841.0
6076333.0,6076694.0,6041190.0
6076531.0,6076986.0,6041027.0
6076464.0,6076657.0,6041021.0
6076340.0,6076906.0,6040927.0
6076144.0,6076534.0,6040840.0
6076155.0,6076675.0,6040031.0
6076183.0,6076831.0,6039950.0
6076141.0,6076896.0,6039904.0
6076478.0,6076662.0,6040629.0
6076634.0,6077010.0,6040858.0
6076309.0,6076953.0,6040864.0
6076132.0,6076798.0,6040803.0
6076358.0,6076991.0,6040989.0
6076059.0,6076983.0,6041185.0
6076487.0,6077044.0,6041306.0
6076288.0,6076975.0,6041094.0
6075788.0,6076620.0,6041426.0
6072624.0,6074232.0,6042355.0
6071569.0,6071389.0,6041614.0
