I,II,V1
6050752.0,6057526.0,6140247.0
6048280.0,6055656.0,6139575.0
6046751.0,6054551.0,6139590.0
6046148.0,6054198.0,6139263.0
6045999.0,6053906.0,6139097.0
6046039.0,6053994.0,6139171.0
6045958.0,6053804.0,6139234.0
6046442.0,6053955.0,6139289.0
6046131.0,6053668.0,6138600.0
6046262.0,6053850.0,6138677.0
6046461.0,6053969.0,6138495.0
6045987.0,6053237.0,6138267.0
6045833.0,6052721.0,6138054.0
6045319.0,6052126.0,6138040.0
6045314.0,6052222.0,6137645.0
6045529.0,6052277.0,6136406.0
6044970.0,6052098.0,6136648.0
6044641.0,6051939.0,6137033.0
6044831.0,6052247.0,6136930.0
6045092.0,6052836.0,6137011.0
6045001.0,6053013.0,6137125.0
6045315.0,6053359.0,6137820.0
6045698.0,6053846.0,6137900.0
6046247.0,6054270.0,6137982.0
6046520.0,6054229.0,6138343.0
6046521.0,6054380.0,6138023.0
6046553.0,6054348.0,6137950.0
6046654.0,6054431.0,6137775.0
6046492.0,6054210.0,6137434.0
6046765.0,6054385.0,6137496.0
6046691.0,6054573.0,6136797.0
6046496.0,6054426.0,6137948.0
6046706.0,6054399.0,6137753.0
6046570.0,6054372.0,6137527.0
6046613.0,6054475.0,6137502.0
6046552.0,6054871.0,6137144.0
6046546.0,6054621.0,6136889.0
6046704.0,6054820.0,6135811.0
6046711.0,6054862.0,6135884.0
6047087.0,6054949.0,6136540.0
6047199.0,6054969.0,6137119.0
6047217.0,6055334.0,6136835.0
6047386.0,6054815.0,6138717.0
6047590.0,6055086.0,6138622.0
6047477.0,6055374.0,6137932.0
6047582.0,6055177.0,6138277.0
6047415.0,6055249.0,6138056.0
6044871.0,6053502.0,6139280.0
6043264.0,6050596.0,6139847.0
6047233.0,6052330.0,6137917.0
6070686.0,6074147.0,6126821.0
6086215.0,6084129.0,6127366.0
6066936.0,6070488.0,6137201.0
6052882.0,6059370.0,6138550.0
6049255.0,6056453.0,6137008.0
6047651.0,6055174.0,6137267.0
6047266.0,6054842.0,6137675.0
6046343.0,6054419.0,6137483.0
6047015.0,6054289.0,6137864.0
6046548.0,6054191.0,6137643.0
6047253.0,6054472.0,6137247.0
6047284.0,6054783.0,6136751.0
6047542.0,6054813.0,6136793.0
6047248.0,6054396.0,6137112.0
6047331.0,6054243.0,6136906.0
6047478.0,6054095.0,6136894.0
6047585.0,6054180.0,6136619.0
6047292.0,6054093.0,6136349.0
6047449.0,6053695.0,6135758.0
6047409.0,6053865.0,6135520.0
6046794.0,6053381.0,6135899.0
6047121.0,6053812.0,6136195.0
6047870.0,6054688.0,6136654.0
6047827.0,6055053.0,6136294.0
6048489.0,6055687.0,6136574.0
6048922.0,6056424.0,6136321.0
6049357.0,6056450.0,6135859.0
6049353.0,6056482.0,6135656.0
6048830.0,6056314.0,6135637.0
6048496.0,6055868.0,6136240.0
6053670.0,6057003.0,6136783.0
6051073.0,6058145.0,6136621.0
6049965.0,6057066.0,6136033.0
6050193.0,6057151.0,6135716.0
6050288.0,6057313.0,6135660.0
6049531.0,6056820.0,6135873.0
6050305.0,6057232.0,6135157.0
6049903.0,6057412.0,6135614.0
6049793.0,6056788.0,6135661.0
6050134.0,6057903.0,6134962.0
6049668.0,6056968.0,6135243.0
6050050.0,6057320.0,6133779.0
6050570.0,6058010.0,6134146.0
6051341.0,6058229.0,6134492.0
6051156.0,6058051.0,6134455.0
6050811.0,6057666.0,6135897.0
6050599.0,6057396.0,6135953.0
6050983.0,6057914.0,6135611.0
6050775.0,6057699.0,6135417.0
6050688.0,6057531.0,6135314.0
6050814.0,6057515.0,6135238.0
6048143.0,6055259.0,6136825.0
6046385.0,6052836.0,6136055.0
6054439.0,6056680.0,6133275.0
6076711.0,6074513.0,6121957.0
6090324.0,6085515.0,6123619.0
6070926.0,6071548.0,6134316.0
6056257.0,6061873.0,6137532.0
6053081.0,6058307.0,6136368.0
6051666.0,6057530.0,6135435.0
6050841.0,6056642.0,6135829.0
6050396.0,6056414.0,6136018.0
6050780.0,6056571.0,6136067.0
6050731.0,6056625.0,6135799.0
6051004.0,6056633.0,6136073.0
6051016.0,6056222.0,6135714.0
6051192.0,6056505.0,6135299.0
6050762.0,6055973.0,6135874.0
6050768.0,6055531.0,6135628.0
6051237.0,6056403.0,6135163.0
6050874.0,6054968.0,6135913.0
6050524.0,6054379.0,6135812.0
6050758.0,6054771.0,6135768.0
6049951.0,6054487.0,6135461.0
6049950.0,6054489.0,6135282.0
6049837.0,6054429.0,6135760.0
6050339.0,6054525.0,6136087.0
6050895.0,6055087.0,6135377.0
6051712.0,6055793.0,6135820.0
6051933.0,6055862.0,6135604.0
6052187.0,6055891.0,6135984.0
6051963.0,6056154.0,6135806.0
6052692.0,6056138.0,6136068.0
6052437.0,6056322.0,6135724.0
6052936.0,6056191.0,6135417.0
6052655.0,6056063.0,6135499.0
6052980.0,6056253.0,6135226.0
6052879.0,6056478.0,6134961.0
6053127.0,6056549.0,6135255.0
